userName,score,at,content
Wido Purnomo,5,8/6/2024 17:57,Terimakasih pelayanan yg cepat dan disiplin ramah tamah
Damar Laksono,2,8/6/2024 15:22,"Sedang mencari2 tempat makan rekomendasi di sekitar,, refresh ulang sendiri terus menerus, mulai dari atas lagi"
Linda Yanti,5,8/6/2024 14:25,"Sangat membantu untuk kita berpergian yang tidak tahu arah jalan, mantap pokok nya"
Mikha Thimoty,2,8/6/2024 12:10,Kenapa ya sekarang tdk bisa cek linimasa hp orang lain meskipun email yg digunakan sama? Padahal dulu bisa.. di upgrade kok mlh jd down grade
Wahyu Diana,1,8/6/2024 11:10,"Kenapa map tidak jalan, padahal kendaraan sudah melaju, tolong di cek lagi aplikasinya, ngebug"
Fatih Zaid,4,8/6/2024 2:54,"Kadang suka error , petunjuk arahnya juga sering keluar dari rute"
Ayrah Shirly,3,8/6/2024 2:00,Sinyal gps hilang terus.. Aneh jaringan internet kuat. Masih sinyal gps hilang kenapa google
bapak ora genah,5,8/5/2024 22:54,Karena kerja saya harus gunakan goggle maps ini sangat membantu saya setiap hari.
Adhee Dhee,5,8/5/2024 22:41,"Izinkan saya untuk protes. Wajah saya masuk google maps, Tapi kenapa wajah saya tidak disensor? Orang lain disensor, plat nomor kendaraan pun disensor, kenapa hanya wajah saya saja yang tidak disensor?"
Zuandi Rival,3,8/5/2024 20:20,"Mobil disuruh lewat jalan tikus, yg warasan dikit lah maps!"
Dwifajar Agent property,1,8/5/2024 18:31,"Selalu ngasih rute yang berubah tidak sesuai dengan lokasi yang sebenarnya, melenceng jauh, menghabiskan bahan bakar montor aja"
Yahya Abdau,1,8/5/2024 16:59,"Titik lompat lompat, pencarian rute ngawur, posisi jalan posisi titik nya kemana mana atau muter muter"
Assyifa Ramadhan,5,8/5/2024 16:21,"menurut saya pengguna google maps sudah bagus, tapi terkadang ada hal aneh tertangkap kamera"
dewa sulawesi,1,8/5/2024 13:55,Maps sekarang sudah tidak akurat memberi petunjuk jalan sbg seorang pengemudi taxi online saya sangat dirugikan.
Giansyah Ugi,2,8/5/2024 13:51,"Sering error, rute sering di puter2.. titik tujuan udah depan mata tp malah di rubah rute ke yg lebih jauh.."
titin yusuf,5,8/5/2024 13:06,"Google maps banyak membantu, klo bisa biar tambah akurat dlm segala perjalanan dan lokasinya"
Ahmad Alfian,1,8/5/2024 5:14,"Sering kehilangan sinyal, sering tidak valid, kecepatan gak terdeteksi"
I.F.D. Youbosque,4,8/4/2024 23:33,Masih byak yg harus di perbaharui terutama rute cepat msih sangat tdak sesuai... Msih sering di arahkan tidak sesuai nomor Plat pada tanggal tsb. Semoga ke depan lbh baik lgi.
Agus Suryonegoro III - é˜¿å¤æ–¯Â·è‹çº¦è¯º,5,8/4/2024 22:32,"Pilihan opsi ""hindari jalan kecil"" dan ""hindari jalan pemukiman"" kok tidak ada ya / tidak muncul di tampilan setting Google Map..? Mohon petunjuk.."
Fauzi Mahardhika,5,8/4/2024 19:45,aplikasi navigasi dari google ini memang sangat membantu pengguna untuk menemukan jalan jalan di indonesia. semoga akan terus dikembangkan agar pemakaian dan akurasinya semakin baik. semangat untuk developer gmaps untuk terus berkembang kedepannya
Saidina Umar,1,8/4/2024 19:42,Setelah di update bukan tambah membaik tapi kualitas semakin buruk.sinyal internet bagus tapi maps titik selalu ketinggalan.mending kembali sebelum update yg lalu.
hendra susanto,2,8/4/2024 18:48,Kenapa gerakin maps nya jd panah. Bukan garis biru kayak dlu.. jd lama gerakinya. Bkn lbh baik mlah lbh buruk parah
Andi Tobing,5,8/4/2024 18:47,Paling enak rasa original. Rasa iga bakarnya berani dan lembut di mulut. Wajib nyoba untuk yg di bintaro dan sekitarnya
Sakim Sakim,5,8/4/2024 18:45,"Sangat""membantu menemukan menunjukan suatu lokasi tempat yg akurat..pertahankan trs dan bisa lebih baik lagi dan lagi,."
Heriyanto Fadillah,5,8/4/2024 17:47,Lebih mudah dan cepat mencari tempat/alamat.
Asgar Ryoghie,1,8/4/2024 16:34,"Setelah updat jd tololll...disasarin brp kali udh gtu gk mau jln mandeg ditmp navigasinya, jalan udh kmna navigasi masih menjedog"
irna kencana,3,8/4/2024 15:52,Makin parah aja google map ada jarak yg lebih dekat malah dipake yang jauh perbaikilah klo dah bener br kasih bintang 5
Niang ayu rohma Dhini,2,8/4/2024 13:53,Hallo min kenapa sekrang liminasanya tidak seperti biasanya .. biasanya bisa di pakek beberapa hp TPI sekrang tidak bisa cuma hp 1 aja yg connec
Ari Purnawan,5,8/4/2024 13:10,Mohon ditambahkan opsi rute Hindari jalan kecil dan Hindari jalan tanjakan tinggi
Alfarizie Mr,4,8/4/2024 12:58,"Rute untuk sepeda motor kok sering hilang/tidak muncul dalam pilihan ya?? Dg clear data bisa muncul lg, tapi kadang juga gak muncul. Gmn yah???"
Kimin Go,1,8/4/2024 11:44,"Kecewa banget sama google map nih,orang udah kelewat baru bilang belok kiri padahal sinyal aman aman aja ðŸ¤¦â€â™‚ï¸ .jalan ikon nya juga patah patah terus padahal sinyall buat apa aja stabil"
Isal Bae,5,8/4/2024 8:02,Aplikasinya sangat membantu bagi yang di tidak tau arah jalan yang kita tujuh aplikasi bagus banget tanpa ada iklan dan mudah di pahami
Christian eben haezer Tobing,1,8/4/2024 7:03,"Google linimasa terlalu banyak error, masa jalan nya lurus aja,"
Aviv Rahman,1,8/4/2024 6:59,Lama2 aplikasinya bapuk.maps nya ngga pernah mau jalan.pdahal jaringan bagus
Adelia Eka,5,8/4/2024 6:14,google maps navigasi yang sempurna untuk mencari titik lokasi dengan tepat
