userName,score,at,content
Wido Purnomo,5,8/6/2024 17:57,terimakasih pelayanan yg cepat dan disiplin ramah tamah
Damar Laksono,2,8/6/2024 15:22,sedang mencari tempat makan rekomendasi di sekitar refresh ulang sendiri terus menerus mulai dari atas lagi
Linda Yanti,5,8/6/2024 14:25,sangat membantu untuk kita berpergian yang tidak tahu arah jalan mantap pokok nya
Mikha Thimoty,2,8/6/2024 12:10,kenapa ya sekarang tdk bisa cek linimasa hp orang lain meskipun email yg digunakan sama padahal dulu bisa di upgrade kok mlh jd down grade
Wahyu Diana,1,8/6/2024 11:10,kenapa map tidak jalan padahal kendaraan sudah melaju tolong di cek lagi aplikasinya ngebug
Fatih Zaid,4,8/6/2024 2:54,kadang suka error petunjuk arahnya juga sering keluar dari rute
Ayrah Shirly,3,8/6/2024 2:00,sinyal gps hilang terus aneh jaringan internet kuat masih sinyal gps hilang kenapa google
bapak ora genah,5,8/5/2024 22:54,karena kerja saya harus gunakan goggle maps ini sangat membantu saya setiap hari
Adhee Dhee,5,8/5/2024 22:41,izinkan saya untuk protes wajah saya masuk google maps tapi kenapa wajah saya tidak disensor orang lain disensor plat nomor kendaraan pun disensor kenapa hanya wajah saya saja yang tidak disensor
Zuandi Rival,3,8/5/2024 20:20,mobil disuruh lewat jalan tikus yg warasan dikit lah maps
Dwifajar Agent property,1,8/5/2024 18:31,selalu ngasih rute yang berubah tidak sesuai dengan lokasi yang sebenarnya melenceng jauh menghabiskan bahan bakar montor aja
Yahya Abdau,1,8/5/2024 16:59,titik lompat lompat pencarian rute ngawur posisi jalan posisi titik nya kemana mana atau muter muter
Assyifa Ramadhan,5,8/5/2024 16:21,menurut saya pengguna google maps sudah bagus tapi terkadang ada hal aneh tertangkap kamera
dewa sulawesi,1,8/5/2024 13:55,maps sekarang sudah tidak akurat memberi petunjuk jalan sbg seorang pengemudi taxi online saya sangat dirugikan
Giansyah Ugi,2,8/5/2024 13:51,sering error rute sering di puter titik tujuan udah depan mata tp malah di rubah rute ke yg lebih jauh
titin yusuf,5,8/5/2024 13:06,google maps banyak membantu klo bisa biar tambah akurat dlm segala perjalanan dan lokasinya
Ahmad Alfian,1,8/5/2024 5:14,sering kehilangan sinyal sering tidak valid kecepatan gak terdeteksi
I.F.D. Youbosque,4,8/4/2024 23:33,masih byak yg harus di perbaharui terutama rute cepat msih sangat tdak sesuai msih sering di arahkan tidak sesuai nomor plat pada tanggal tsb semoga ke depan lbh baik lgi
Agus Suryonegoro III - é˜¿å¤æ–¯Â·è‹çº¦è¯º,5,8/4/2024 22:32,pilihan opsi hindari jalan kecil dan hindari jalan pemukiman kok tidak ada ya tidak muncul di tampilan setting google map mohon petunjuk
Fauzi Mahardhika,5,8/4/2024 19:45,aplikasi navigasi dari google ini memang sangat membantu pengguna untuk menemukan jalan jalan di indonesia semoga akan terus dikembangkan agar pemakaian dan akurasinya semakin baik semangat untuk developer gmaps untuk terus berkembang kedepannya
Saidina Umar,1,8/4/2024 19:42,setelah di update bukan tambah membaik tapi kualitas semakin buruksinyal internet bagus tapi maps titik selalu ketinggalanmending kembali sebelum update yg lalu
hendra susanto,2,8/4/2024 18:48,kenapa gerakin maps nya jd panah bukan garis biru kayak dlu jd lama gerakinya bkn lbh baik mlah lbh buruk parah
Andi Tobing,5,8/4/2024 18:47,paling enak rasa original rasa iga bakarnya berani dan lembut di mulut wajib nyoba untuk yg di bintaro dan sekitarnya
Sakim Sakim,5,8/4/2024 18:45,sangatmembantu menemukan menunjukan suatu lokasi tempat yg akuratpertahankan trs dan bisa lebih baik lagi dan lagi
Heriyanto Fadillah,5,8/4/2024 17:47,lebih mudah dan cepat mencari tempatalamat
Asgar Ryoghie,1,8/4/2024 16:34,setelah updat jd tolollldisasarin brp kali udh gtu gk mau jln mandeg ditmp navigasinya jalan udh kmna navigasi masih menjedog
irna kencana,3,8/4/2024 15:52,makin parah aja google map ada jarak yg lebih dekat malah dipake yang jauh perbaikilah klo dah bener br kasih bintang 
Niang ayu rohma Dhini,2,8/4/2024 13:53,hallo min kenapa sekrang liminasanya tidak seperti biasanya biasanya bisa di pakek beberapa hp tpi sekrang tidak bisa cuma hp  aja yg connec
Ari Purnawan,5,8/4/2024 13:10,mohon ditambahkan opsi rute hindari jalan kecil dan hindari jalan tanjakan tinggi
Alfarizie Mr,4,8/4/2024 12:58,rute untuk sepeda motor kok sering hilangtidak muncul dalam pilihan ya dg clear data bisa muncul lg tapi kadang juga gak muncul gmn yah
Kimin Go,1,8/4/2024 11:44,kecewa banget sama google map nihorang udah kelewat baru bilang belok kiri padahal sinyal aman aman aja jalan ikon nya juga patah patah terus padahal sinyall buat apa aja stabil
Isal Bae,5,8/4/2024 8:02,aplikasinya sangat membantu bagi yang di tidak tau arah jalan yang kita tujuh aplikasi bagus banget tanpa ada iklan dan mudah di pahami
Christian eben haezer Tobing,1,8/4/2024 7:03,google linimasa terlalu banyak error masa jalan nya lurus aja
Aviv Rahman,1,8/4/2024 6:59,lama aplikasinya bapukmaps nya ngga pernah mau jalanpdahal jaringan bagus
Adelia Eka,5,8/4/2024 6:14,google maps navigasi yang sempurna untuk mencari titik lokasi dengan tepat
Kojingwan Robert,2,8/4/2024 4:50,saya beri  karena maps sama yang asli di lapangan beda semua pertama dinas ketenagakerjaaan seharusnya jembatan dan jalannya itu ke dinas ketenagakerjaan jadi satu yang di maps jalan sendiri lokasi dinas ketenagakerjaan sendiri jdi terpisah kedua sebelum alfamart seharusnya itu indomaret di maaps counter jne ketiga es serut legend sudah tidak jualan lagi ini di maaps masih ada dan letaknya di rumah warga ke empat sd n  purwokerto itu yang asli tepatnya depan jl mangga  di maaps beda
akif irawan,1,8/4/2024 1:24,di phone saya tidak ada opsi hindari jalan perkampungan atau hindari jalan kecil atau hindari jalan sepeda motor tidak seperti bersi lama yg lengkap
Niitha Lestari,1,8/3/2024 22:14,akhir ini ntah kenapa maps jadi eror kita nya udah jalan tp maps stuck dititik awal dan tanpa ada kejelasan brp kecepetan kita dan selalu ada notif sinyal gps hilang dan menelusuri gps alhasil pk cara lama harus dipratinjau dulu atau nanya org sekitar malah makin ribet makin lama malah makin muter gak jelas
novel enam,1,8/3/2024 22:06,saya kerja menggunakan map dan sekarang buruk tolong diperbaiki versi yqng baru ini
Pengamen jalanan,5,8/3/2024 21:50, adalah versi terbaik dari yang sebelum belumnya pertahanankan kenapa bisa di bilang begitu titik kordinat biru bergerak ketika hp di gerakan tidak melalui jalan yang jelek padahal kalo lewat jalan yg jelek lebih deket jalurnya tidak semua pengemudi menyukai ini tapi saya suka karena takut di prank lagi dengan jalan yg jelek nbjalan jelek itu jalan bukan yg di aspal udah rusak tapi jalan tanah yg ancur yg becek banyak batu jalan gak rata pertahankan ya
alex antosontoloyo,1,8/3/2024 19:12,titik berubah abu abu dan klau biru nevigasi gak jln tolong di perbaiki
Musakif Anadz,1,8/3/2024 18:44,akurasi titik biru di maps tidak pas dengan posisi hpburuk sekali sekarang
Laode Muhammad Rasyid,2,8/3/2024 17:50,untuk sementara waktu maps tidak dapat diandalkan di kota kendari dan sekitarnya terutama ojol dan sopir grabmaxim karena penunjuk jalannya tidak tepat atau tidak akurat mohon dilakukan perbaikan secepatnya
DIMAS BAGUS,3,8/3/2024 17:30,thaks gmaps saya sudah sering di bantu sebagai penunjuk arah banyak sekali pengalaman yang baik dan juga ada yang lumanyan di kenang salah satunya nyasar ke kuburan
Kholid rohman saputro,1,8/3/2024 15:57,hbis update malah jdi berantakan rumah gue tau pindah posisi mlah jdi pinggir jalan besar yg dlunya runah gue bisa di liat dipetakan skrang gk bisa parahhh
M. Nur,3,8/3/2024 15:43,pengalaman pribadi baru saya alami lokasi yang sudah hampir sampai menit lagisetelah mau sampai tiba tujuan berubah jadi menit lagiapa kita wajib muter lagi sampai bensin kita habis baru sampai
Dedi Putra Sinurat,1,8/3/2024 15:17,google maps memang gak jelas kesel gua sama google maps ini ngk akurat dan ngk jelas
Hunan milliane Pambudi,3,8/3/2024 13:32,mungkin perlu diperbarui ketepatannya sudah sampai dilokasi tp t blm muncul di linimasa maps nya
Kam Zhays Official,4,8/3/2024 11:28,cukup membantu memandu perjalanan tapi masih juga lelet jika berputar arah atau putar balik jadi bingung di persimpangan
Khoerul Ikhwan,2,8/3/2024 7:17,dear developerkenapa rute motor di maps hilangtolong di tambahkan lagi rute sepeda motor nyapakai rute mobil malah di arahkan ke rute yang lebih jauh
Fany Mohammad,1,8/2/2024 22:54,kurang uptodate yang menyebabkan tidak akurat dan pengguna sering tersesat di jalan titik kordinat banyak tidak sesuai dengan lapangan
imou hajir,5,8/2/2024 21:58,bagus lokasinya akurat sesuai aslinya rutenya juga tepat dan pas
Rani Arta Ningrum,2,8/2/2024 18:41,buka maps malah njengkelin mau nyari tempat susah mau pencet rute malah keluar sendiri apknya pencet mulai juga sama udah diijinkan semua di info apk udah di update tetep sama aja pihak admin gimana sih kadang mau sharelock titik nya beda jauh kecewa berat
Habibur Rahim,5,8/2/2024 18:01,aplikasi yang mudah di gunakan dan di pahami sangan membantu sekali
Reki Oktapriadi,5,8/2/2024 17:32,saya mengelola bisnis tapi saya susah mengatur titik lokasi bisnis saya sesuai tempat tolong di bantu
Ricky Remc,5,8/2/2024 17:18,saya berharap ada tambahan fitur tanjakan curam untuk menghindari jalan tersebut jalan extreme minimal dikasih tau sebelumnya dmn letak jalan extreme nya trimakasih
Muhammad Abdul Karim,1,8/2/2024 17:02,saya cek posisi saya sangat tidak akurat masak jarak saya di map berjarak  km tolong perbaiki
calon editor,5,8/2/2024 16:05,membantu cuma kenapa gps ku kaya orang pikun tiba tiba berubah arah terus suruh belok kanan lah kiri lah suruh puter balik lah padahal jalan cuma satu lurus saja nggak ada belokan
Saka Maulana,1,8/2/2024 11:25,setelah update tiba google maps di hp saya gak jalanpadahal biasanya normal
Lukas Teguh Santoso,5,8/2/2024 10:39,tolong dong buat google maps tambahkan jalur untuk mobil golongan  seperti truk
RAHMAT DANI,5,8/2/2024 8:50,cukup memuaskan minat saya dan selebihnya lebih ditambahkan atau ditingkatkan fiturfiturnya terimakasih
Sopo Jarwo (Gosh Bird),1,8/2/2024 5:20,kapan bisa rubah suara sendiri pribadi pada navigasi seperti di waze bosan dengar suara system terus lebih maju dong
Mugi yati,5,8/1/2024 20:40,fitur nya makin bgus di aplikasi gogle maps nya sekarang udh di updete jdi makin bgus
selsabitta fjreriana,5,8/1/2024 19:39,aplikasi yang sangat mempermudah perjalanan dimanapun kapanpun gak khawatir lagi untuk tersesat best bgt
AdiLovei PutriAldiRasyid,4,8/1/2024 18:46,aplikasi google maps setelah di update kinerjanya seperti nya kurang cepat respon gak seperti biasanya tolong dong pihak terkait untuk kebih meringankan aplikasi saat di buka dan cepat respon thanks untuk google maps semoga kedepannya jadi yang terbaik dari yang terbaik
yeyen laros,5,8/1/2024 18:42,bisa gak sih membedakan jalan untuk kendaraan besar dan kendaraan kecil saya sering di sasarin diarahkan ke jalan komplek pake mobil disamakan kayak naik motor suruh lewat gang kecil ngaco ah
Rina Jayusman,4,8/1/2024 18:31,lokasi rumah kadang kurang akurat dan lokasi real time tolong di optimalkan
Ilmi Kzhra,5,8/1/2024 18:01,emm bagus ya tapi tolong perbaiki bugnya ya kan aku mau ketik di pencarian terus aku ketik majelis ngaji alrahman malah gk ada tolong ya min perbaiki bugnya pliss
boing tea1,1,8/1/2024 17:20,nyusahin orang dipilihnya jala sempit pedahal jalan lebar banyak apk perlu banyak perbaikan nyusahin
Irfan Hermansyah,2,8/1/2024 16:13,ga mutu bangat apk maps bekerja sama pihak ojol bukan membaik malah dibikin rusak apk maps lebih dulu ada ktimbang apk ojol tolong berdikari sendiri tunjukin kualitas yg baik untuk pengguna buatlah aturan sendiri sendiri jangan terpaku sama apk yg hanya bisanya menumpang
Muhammad Irwan Amirullah,5,8/1/2024 14:15,dengan updatetan dan fitur bagus dan mudah di mengerti
Sugi Yana,5,8/1/2024 12:10,kadangkadang google map juga error juga oleh karena itu mohon lebih banyak diupdate kali ya
Edi Tariyus Cahyono,2,8/1/2024 7:29,mohon solusi di poco x saat di mulai navigasi posisi gps tidak akurat dan sering muncul notifikasi menelusuri gps
Ahmad Yulianto,5,8/1/2024 4:58,sip dan untuk google areo dan google adwords gagal login padahal jaringan masih kencang tapi gagal mohon bantuannya ya
Imam Suyono,1,8/1/2024 1:13,map ini bikin nyasar udah malam malam di puter kaga jelas map map parah jarak tempuh makin jauh paraaahhh eror trus
Zaid alfathin,1,8/1/2024 0:24,sebagai pengguna biasa susah melaporkan kesalahan jalan contoh mobil seharusnya tidak bisa lewat tapi di maps mobil bisa lewat
rudy panasonic,2,7/31/2024 19:50,payah engk akurat versi doang naik kualitas maps kurang maxsimal arah engk karuan suka muter kayak gasingan pokok ye engk bagus
Aldo Indrawan,5,7/31/2024 15:49,aplikasi nya sangat bagus dapat membantu dalam perjalanan untuk menemukan suatu lokasi yang saya ingin kan
Indra Wijaya,5,7/31/2024 14:06,sangat membantu sekali apabila sedang dalam kebingung dalam perjalanan dan suka menjadi reminder apabila tersesat di jalan
Aris,4,7/31/2024 5:12,histori di pengaturan sudah di hapus semua namun di beranda penelusuran histori nyah masih ada tidak bisa ke hapus
Irvanmuhammad muchtar,5,7/31/2024 1:27,google maps aplikasi navigasi yang luar biasa fitur pencarian lokasi yang akurat dan membuat perjalanan menjadi lebih mudah dan efisien juga sangat menghargai fitur lalu lintas realtime yang membantu saya menghindari kemacetan
Yoga Anugrahta,5,7/31/2024 0:12,sangat membantu saat perjalanan jauh mantap gmaps
Dede Feredy,1,7/31/2024 0:10,lokasi tidak update rute perjalanan yg d lalui sering tidak muncul sudah berada d suatu lokasi tidak update
Nk cell,1,7/30/2024 22:17,versi terbaru navigasi tidak akurat tanda panah tidak berjalan
Yanto/ /otnaY,5,7/30/2024 21:52,tolong masukan jenis kendaraan termasuk truk roda  dan seterusnya karena sering mobil besar mengikuti maps ternyata jalan kecil terimakasih
Abi Faiziy,5,7/30/2024 21:39,sangat efektif dan simple untuk menelusuri lalu lintas dan alamat tujuan lebih baik lagi jika tidak menekan tombol mulai sehingga ketauan kalau kita keluar dari rute awal yang diarahkan
Juvaweh (Juan Valdy Wehantouw),2,7/30/2024 20:26,sy mau ke daerah greenlake cityjakarta barat dari arah jasinga bogor alamat yang dituju udah benar estimasi tiba uda bener waktu tempuh jammenit giliran motor udah jalan malah penunjuk arah maps ga jalan sama sekali maps stuck ditempat alhasil saya nyasar yang tadinya cuma jaman berubah jadi jaman nyari sendiri jalan menuju tujuan pake cara kuno baca plan arah jalan dan saya nulis ulasan ini maps sy juga masih error ini hari kelima setelah kejadian itu mohon keadilan
nicky raditya,1,7/30/2024 19:46,di upadate malah semakin buruklinimasa tidak bisa di lihat lagi di hp lainsekarang kalau hp hilangya wassalamgak bakal bisa di lacak lagi di lokasi terakhirnyasemoga kembali seperti dulu
Joko Budi Mulyono,1,7/30/2024 18:29,tolong mapsnya di perbaiki lagi di hp mapsnya selalu eror maps gak akurat malah bagus versi yang lama mapsnya lancar jaya sekarang parahtolong dibpertahankan mapsnya biar kayak dlusemakin kesini maps parahterimakasih
Bang Iful,1,7/30/2024 16:45,buruk rute motor tidak ada di instal ulang pun malah makin ngaco setelan kendaraan cuma ada kendaraan listrik makin edan
fajar ferdianto,2,7/30/2024 14:56,lw turunin laaahkm tidak jalan tersendat batre cukup koneksi stabil tolong hilangkan bug nyasudah di install ulang tetap demikian tolong di perbaiki lagi
Siti Hasanah,3,7/30/2024 14:26,semenjak diperbarui maps nya jd ga jelas bikin pusing driver mending maps nya yg dulu sekarang jelek parah
Muhamad Iqbal,5,7/30/2024 13:24,membantu untuk menemukan sebuah tempat dan menjadi lebih cepat sampai ketujuan
Alliya Ferjihan,5,7/30/2024 12:56,semoga makin akurat dalan menentukan rute yang akan dituju dan mohon untuk update navigasi atau rute jika jalanan sedang ditutup
Carles MVC,1,7/30/2024 12:45,sering error lebih bagus versi lama sebagai driver online perlu maps yg akurat
Yohanes Nuwa,2,7/30/2024 11:43,anjink kalo tempatnya udah tutup di maps harusnya di perbarui bukan tetap di post buka tapi ketika udah sampe malah udah bangkrut
Ini Ono,4,7/30/2024 8:24,hi gmaps untuk navigasinya kenapa mengarah kebagian bawah dr tampilan hp yang enak kan ke atas hp potrait harus d puter dua jari utk menavigasi bikin pusing tau
Andi Budiman,1,7/30/2024 0:27,hasil versi terbaru makin ngaco titik tidak akurat yg seharusnya biru jadk abu mengecewakan
Ompy Nuban,1,7/29/2024 22:26,lambat dan terkadang menyesatkan tidak susai titik dan tidak dapat menunjukan jalan yg terdekat
Sigid Maryanto,5,7/29/2024 22:19,sangat membantu penunjuk arah sangat detail dengan lokasi puas sekali
Samsung Glx123,1,7/29/2024 21:36,coco untuk di bagian kota saja klo udah masuk ke bagian perdesaan gk bisa di gunakan
Arist Bareno,1,7/29/2024 21:23,di hp saya akurasi kompasnya rendah tolong di tingkatkan supaya akurasi kompasnya tinggi
yosua sullivan,1,7/29/2024 21:10,error mulu maps nya padahal sudah di update
Fitri Prayoga,1,7/29/2024 20:22,sekarang aplikasinya tidak bisa melacak lokasi tidak akurat setelah diperbarui lebih baik maps yang lama
Reza Rubail,1,7/29/2024 18:53,aneh tidak bisa gerak gk jalan gw jauh jauh jalan eh pas liat maps ko titik gw masih di situ tolong lah perbaiki
