userName,score,at,content,polarity_score,sentiment,content_stopwords,tokenized_stemmed,cleaned_tokenized_stemmed
Wido Purnomo,5,8/6/2024 17:57,terimakasih pelayanan yang cepat dan disiplin ramah tamah,7,POSITIVE,terimakasih pelayanan cepat disiplin ramah tamah,"['terimakasih', 'layan', 'cepat', 'disiplin', 'ramah', 'tamah']",terimakasih layan cepat disiplin ramah tamah
Damar Laksono,2,8/6/2024 15:22,sedang mencari tempat makan rekomendasi di sekitar refresh ulang sendiri terus menerus mulai dari atas lagi,-16,NEGATIVE,sedang mencari tempat makan rekomendasi sekitar refresh ulang sendiri terus menerus mulai atas,"['cari', 'makan', 'rekomendasi', 'refresh', 'ulang', 'terus']",cari makan rekomendasi refresh ulang terus
Linda Yanti,5,8/6/2024 14:25,sangat membantu untuk kita berpergian yang tidak tahu arah jalan mantap pokok,-10,NEGATIVE,sangat membantu kita berpergian tidak tahu arah jalan mantap pokok,"['bantu', 'pergi', 'arah', 'jalan', 'mantap', 'pokok']",bantu pergi arah jalan mantap pokok
Mikha Thimoty,2,8/6/2024 12:10,kenapa ya sekarang tidak bisa cek linimasa telepon orang lain meskipun email yang digunakan sama padahal dulu bisa di upgrade mengapa malah jadi down grade,-17,NEGATIVE,ya sekarang cek linimasa telepon orang meskipun email digunakan sama padahal dulu bisa di upgrade malah jadi down grade,"['ya', 'cek', 'linimasa', 'telepon', 'orang', 'email', 'upgrade', 'down', 'grade']",ya cek linimasa telepon orang email upgrade down grade
Wahyu Diana,1,8/6/2024 11:10,kenapa map tidak jalan padahal kendaraan sudah melaju tolong di cek lagi aplikasinya ngebug,-10,NEGATIVE,map jalan padahal kendaraan melaju di cek aplikasinya ngebug,"['map', 'jalan', 'kendara', 'laju', 'cek', 'aplikasi', 'ngebug']",map jalan kendara laju cek aplikasi ngebug
Fatih Zaid,4,8/6/2024 2:54,kadang suka eror petunjuk arahnya juga sering keluar dari rute,-4,NEGATIVE,kadang suka eror petunjuk arahnya sering keluar rute,"['kadang', 'suka', 'eror', 'tunjuk', 'arah', 'rute']",kadang suka eror tunjuk arah rute
Ayrah Shirly,3,8/6/2024 2:00,sinyal navigasi hilang terus aneh jaringan internet kuat masih sinyal navigasi hilang kenapa google,-4,NEGATIVE,sinyal navigasi hilang terus aneh jaringan internet kuat sinyal navigasi hilang google,"['sinyal', 'navigasi', 'hilang', 'aneh', 'jaring', 'internet', 'kuat', 'sinyal', 'navigasi', 'hilang', 'google']",sinyal navigasi hilang aneh jaring internet kuat sinyal navigasi hilang google
bapak ora genah,5,8/5/2024 22:54,karena kerja saya harus gunakan goggle maps ini sangat membantu saya setiap hari,-12,NEGATIVE,kerja harus gunakan goggle maps sangat membantu setiap hari,"['kerja', 'goggle', 'maps', 'bantu']",kerja goggle maps bantu
Adhee Dhee,5,8/5/2024 22:41,izinkan saya untuk protes wajah saya masuk google maps tapi kenapa wajah saya tidak disensor orang lain disensor plat nomor kendaraan pun disensor kenapa hanya wajah saya saja yang tidak disensor,-46,NEGATIVE,izinkan untuk protes wajah masuk google maps wajah tidak disensor orang disensor plat nomor kendaraan disensor kenapa hanya wajah saja tidak disensor,"['izin', 'protes', 'wajah', 'masuk', 'google', 'maps', 'wajah', 'sensor', 'orang', 'sensor', 'plat', 'nomor', 'kendara', 'sensor', 'wajah', 'sensor']",izin protes wajah masuk google maps wajah sensor orang sensor plat nomor kendara sensor wajah sensor
Zuandi Rival,3,8/5/2024 20:20,mobil disuruh lewat jalan tikus yang warasan dikit lah maps,-13,NEGATIVE,mobil disuruh lewat jalan tikus warasan dikit lah maps,"['mobil', 'suruh', 'jalan', 'tikus', 'waras', 'dikit', 'maps']",mobil suruh jalan tikus waras dikit maps
