userName,score,at,content,polarity_score,sentiment,content_stopwords,content_stemmed,cleaned_tokenized_stemmed,cleaned_sentence
Wido Purnomo,5,8/6/2024 17:57,terimakasih pelayanan yang cepat dandisiplin ramah tamah,4,POSITIVE,terimakasih pelayanan cepat dandisiplin ramah tamah,terimakasih layan cepat dandisiplin ramah tamah,"['terimakasih', 'layan', 'cepat', 'dandisiplin', 'ramah', 'tamah']",terimakasih layan cepat dandisiplin ramah tamah
Damar Laksono,2,8/6/2024 15:22,sedang mencari tempat makan rekomendasi di sekitar refresh ulang sendiri terus menerus mulai dari atas lagi,-16,NEGATIVE,sedang mencari tempat makan rekomendasi refresh ulang sendiri terus menerus mulai atas,sedang cari tempat makan rekomendasi refresh ulang sendiri terus terus mulai atas,"['sedang', 'cari', 'tempat', 'makan', 'rekomendasi', 'refresh', 'ulang', 'sendiri', 'terus', 'terus', 'mulai', 'atas']",sedang cari tempat makan rekomendasi refresh ulang sendiri terus terus mulai atas
Linda Yanti,5,8/6/2024 14:25,sangat membantu untukkita berpergian yang tidak tahu arah jalan mantap pokoknya nya,-13,NEGATIVE,sangat membantu untukkita berpergian tahu arah jalan mantap pokoknya nya,sangat bantu untukkita pergi tahu arah jalan mantap pokok nya,"['sangat', 'bantu', 'untukkita', 'pergi', 'tahu', 'arah', 'jalan', 'mantap', 'pokok', 'nya']",sangat bantu untukkita pergi tahu arah jalan mantap pokok nya
Mikha Thimoty,2,8/6/2024 12:10,kenapa ya sekarang tidak bisa cek linimasa hp orang lain meskipun email yang digunakan sama padahal dulu bisa di upgrade mengapa malah jadi down grade,-17,NEGATIVE,sekarang cek linimasa hp orang meskipun email digunakan sama padahal dulu upgrade malah jadi down grade,sekarang cek linimasa hp orang meski email guna sama padahal dulu upgrade malah jadi down grade,"['sekarang', 'cek', 'linimasa', 'hp', 'orang', 'meski', 'email', 'guna', 'sama', 'padahal', 'dulu', 'upgrade', 'malah', 'jadi', 'down', 'grade']",sekarang cek linimasa hp orang meski email guna sama padahal dulu upgrade malah jadi down grade
Wahyu Diana,1,8/6/2024 11:10,kenapa map tidak jalan padahal kendaraan sudah melaju tolong di cek lagi aplikasinya ngebug,-10,NEGATIVE,map jalan padahal kendaraan melaju cek aplikasinya ngebug,map jalan padahal kendara laju cek aplikasi ngebug,"['map', 'jalan', 'padahal', 'kendara', 'laju', 'cek', 'aplikasi', 'ngebug']",map jalan padahal kendara laju cek aplikasi ngebug
Fatih Zaid,4,8/6/2024 2:54,kadang suka error petunjuk arahnya juga sering keluar dari rute,-5,NEGATIVE,kadang suka error petunjuk arahnya sering keluar rute,kadang suka error tunjuk arah sering keluar rute,"['kadang', 'suka', 'error', 'tunjuk', 'arah', 'sering', 'keluar', 'rute']",kadang suka error tunjuk arah sering keluar rute
Ayrah Shirly,3,8/6/2024 2:00,sinyal gps hilang terus aneh jaringan internet kuat masih sinyal gps hilang kenapa google,-4,NEGATIVE,sinyal gps hilang terus aneh jaringan internet kuat sinyal gps hilang google,sinyal gps hilang terus aneh jaring internet kuat sinyal gps hilang google,"['sinyal', 'gps', 'hilang', 'terus', 'aneh', 'jaring', 'internet', 'kuat', 'sinyal', 'gps', 'hilang', 'google']",sinyal gps hilang terus aneh jaring internet kuat sinyal gps hilang google
bapak ora genah,5,8/5/2024 22:54,karena kerja saya harus gunakan goggle maps ini sangat membantu saya setiap hari,-12,NEGATIVE,kerja gunakan goggle maps sangat membantu hari,kerja guna goggle maps sangat bantu hari,"['kerja', 'guna', 'goggle', 'maps', 'sangat', 'bantu', 'hari']",kerja guna goggle maps sangat bantu hari
Adhee Dhee,5,8/5/2024 22:41,izinkan saya untukprotes wajah saya masuk google maps tapi kenapa wajah saya tidak disensor orang lain disensor plat nomor kendaraan pun disensor kenapa hanya wajah saya saja yang tidak disensor,-43,NEGATIVE,izinkan untukprotes wajah masuk google maps wajah disensor orang disensor plat nomor kendaraan disensor wajah disensor,izin untukprotes wajah masuk google maps wajah sensor orang sensor plat nomor kendara sensor wajah sensor,"['izin', 'untukprotes', 'wajah', 'masuk', 'google', 'maps', 'wajah', 'sensor', 'orang', 'sensor', 'plat', 'nomor', 'kendara', 'sensor', 'wajah', 'sensor']",izin untukprotes wajah masuk google maps wajah sensor orang sensor plat nomor kendara sensor wajah sensor
Zuandi Rival,3,8/5/2024 20:20,mobil disuruh lewat jalan tikus yang warasan dikit lah maps,-13,NEGATIVE,mobil disuruh lewat jalan tikus warasan dikit lah maps,mobil suruh lewat jalan tikus waras dikit lah maps,"['mobil', 'suruh', 'lewat', 'jalan', 'tikus', 'waras', 'dikit', 'lah', 'maps']",mobil suruh lewat jalan tikus waras dikit lah maps
Dwifajar Agent property,1,8/5/2024 18:31,selalu memberi rute yang berubah tidak sesuai dengan lokasi yang sebenarnya melenceng jauh menghabiskan bahan bakar montor aja,-25,NEGATIVE,selalu memberi rute berubah sesuai lokasi sebenarnya melenceng jauh menghabiskan bahan bakar montor aja,selalu beri rute ubah sesuai lokasi benar lenceng jauh habis bahan bakar montor aja,"['selalu', 'beri', 'rute', 'ubah', 'sesuai', 'lokasi', 'benar', 'lenceng', 'jauh', 'habis', 'bahan', 'bakar', 'montor', 'aja']",selalu beri rute ubah sesuai lokasi benar lenceng jauh habis bahan bakar montor aja
Yahya Abdau,1,8/5/2024 16:59,titik lompat lompat pencarian rute ngawur posisi jalan posisi titik nya kemana mana atau putar muter,-8,NEGATIVE,titik lompat lompat pencarian rute ngawur posisi jalan posisi titik nya mana putar muter,titik lompat lompat cari rute ngawur posisi jalan posisi titik nya mana putar muter,"['titik', 'lompat', 'lompat', 'cari', 'rute', 'ngawur', 'posisi', 'jalan', 'posisi', 'titik', 'nya', 'mana', 'putar', 'muter']",titik lompat lompat cari rute ngawur posisi jalan posisi titik nya mana putar muter
Assyifa Ramadhan,5,8/5/2024 16:21,menurut saya pengguna google maps sudah bagus tapi terkadang adahal aneh tertangkap kamera,8,POSITIVE,pengguna google maps bagus terkadang adahal aneh tertangkap kamera,guna google maps bagus terkadang adahal aneh tangkap kamera,"['guna', 'google', 'maps', 'bagus', 'terkadang', 'adahal', 'aneh', 'tangkap', 'kamera']",guna google maps bagus terkadang adahal aneh tangkap kamera
dewa sulawesi,1,8/5/2024 13:55,maps sekarang sudah tidak akurat memberi petunjuk jalan sebagai seorang pengemudi taxi online saya sangat dirugikan,-12,NEGATIVE,maps sekarang akurat memberi petunjuk jalan seorang pengemudi taxi online sangat dirugikan,maps sekarang akurat beri tunjuk jalan orang kemudi taxi online sangat rugi,"['maps', 'sekarang', 'akurat', 'beri', 'tunjuk', 'jalan', 'orang', 'kemudi', 'taxi', 'online', 'sangat', 'rugi']",maps sekarang akurat beri tunjuk jalan orang kemudi taxi online sangat rugi
Giansyah Ugi,2,8/5/2024 13:51,sering error rute sering di putar titik tujuan sudahdepan mata tetapi malah di rubah rute ke yang lebih jauh,-16,NEGATIVE,sering error rute sering putar titik tujuan sudahdepan mata malah rubah rute lebih jauh,sering error rute sering putar titik tuju sudahdepan mata malah rubah rute lebih jauh,"['sering', 'error', 'rute', 'sering', 'putar', 'titik', 'tuju', 'sudahdepan', 'mata', 'malah', 'rubah', 'rute', 'lebih', 'jauh']",sering error rute sering putar titik tuju sudahdepan mata malah rubah rute lebih jauh
titin yusuf,5,8/5/2024 13:06,google maps banyak membantu kalau bisa biar tambah akurat dalam segala perjalanan danlokasinya,3,POSITIVE,google maps banyak membantu kalau biar tambah akurat segala perjalanan danlokasinya,google maps banyak bantu kalau biar tambah akurat segala jalan danlokasinya,"['google', 'maps', 'banyak', 'bantu', 'kalau', 'biar', 'tambah', 'akurat', 'segala', 'jalan', 'danlokasinya']",google maps banyak bantu kalau biar tambah akurat segala jalan danlokasinya
Ahmad Alfian,1,8/5/2024 5:14,sering kehilangan sinyal sering tidak valid kecepatan gak terdeteksi,1,POSITIVE,sering kehilangan sinyal sering valid kecepatan gak terdeteksi,sering hilang sinyal sering valid cepat gak deteksi,"['sering', 'hilang', 'sinyal', 'sering', 'valid', 'cepat', 'gak', 'deteksi']",sering hilang sinyal sering valid cepat gak deteksi
I.F.D. Youbosque,4,8/4/2024 23:33,masih banyak yang harus di perbaharui terutama rute cepat masih sangat tidak sesuai masih sering di arahkan tidak sesuai nomor plat pada tanggal tersebut semoga ke depan lbh baik lgi,-16,NEGATIVE,banyak perbaharui terutama rute cepat sangat sesuai sering arahkan sesuai nomor plat tanggal tersebut semoga depan lbh baik lgi,banyak baharu utama rute cepat sangat sesuai sering arah sesuai nomor plat tanggal sebut moga depan lbh baik lgi,"['banyak', 'baharu', 'utama', 'rute', 'cepat', 'sangat', 'sesuai', 'sering', 'arah', 'sesuai', 'nomor', 'plat', 'tanggal', 'sebut', 'moga', 'depan', 'lbh', 'baik', 'lgi']",banyak baharu utama rute cepat sangat sesuai sering arah sesuai nomor plat tanggal sebut moga depan lbh baik lgi
Agus Suryonegoro III - é˜¿å¤æ–¯Â·è‹çº¦è¯º,5,8/4/2024 22:32,pilihan opsi hindari jalan kecil danhindari jalan pemukiman mengapa tidak adaya tidak muncul di tampilan setting google map mohon petunjuk,-9,NEGATIVE,pilihan opsi hindari jalan kecil danhindari jalan pemukiman adaya muncul tampilan setting google map mohon petunjuk,pilih opsi hindar jalan kecil danhindari jalan mukim adaya muncul tampil setting google map mohon tunjuk,"['pilih', 'opsi', 'hindar', 'jalan', 'kecil', 'danhindari', 'jalan', 'mukim', 'adaya', 'muncul', 'tampil', 'setting', 'google', 'map', 'mohon', 'tunjuk']",pilih opsi hindar jalan kecil danhindari jalan mukim adaya muncul tampil setting google map mohon tunjuk
Fauzi Mahardhika,5,8/4/2024 19:45,aplikasi navigasi dari google ini memang sangat membantu pengguna untukmenemukan jalan jalan di indonesia semoga akan terus dikembangkan agar pemakaian danakurasinya semakin baik semangat untukdeveloper gmaps untukterus berkembang kedepannya,1,POSITIVE,aplikasi navigasi google memang sangat membantu pengguna untukmenemukan jalan jalan indonesia semoga terus dikembangkan pemakaian danakurasinya semakin baik semangat untukdeveloper gmaps untukterus berkembang kedepannya,aplikasi navigasi google memang sangat bantu guna untukmenemukan jalan jalan indonesia moga terus kembang pakai danakurasinya makin baik semangat untukdeveloper gmaps untukterus kembang depan,"['aplikasi', 'navigasi', 'google', 'memang', 'sangat', 'bantu', 'guna', 'untukmenemukan', 'jalan', 'jalan', 'indonesia', 'moga', 'terus', 'kembang', 'pakai', 'danakurasinya', 'makin', 'baik', 'semangat', 'untukdeveloper', 'gmaps', 'untukterus', 'kembang', 'depan']",aplikasi navigasi google memang sangat bantu guna untukmenemukan jalan jalan indonesia moga terus kembang pakai danakurasinya makin baik semangat untukdeveloper gmaps untukterus kembang depan
