userName,score,at,content,label,content_stopwords,content_stemmed
Wido Purnomo,5,8/6/2024 17:57,Terimakasih pelayanan yang cepat dandisiplin ramah tamah,negatif,Terimakasih pelayanan cepat dandisiplin ramah tamah,terimakasih layan cepat dandisiplin ramah tamah
Damar Laksono,2,8/6/2024 15:22,"Sedang mencari2 tempat makan rekomendasi di sekitar,, refresh ulang sendiri terus menerus, mulai dari atas lagi",negatif,"Sedang mencari2 tempat makan rekomendasi , , refresh ulang sendiri terus menerus , mulai atas",sedang mencari2 tempat makan rekomendasi refresh ulang sendiri terus terus mulai atas
Linda Yanti,5,8/6/2024 14:25,"Sangat membantu untukkita berpergian yang tidak tahu arah jalan, mantap pokoknya nya",negatif,"Sangat membantu untukkita berpergian tahu arah jalan , mantap pokoknya nya",sangat bantu untukkita pergi tahu arah jalan mantap pokok nya
Mikha Thimoty,2,8/6/2024 12:10,Kenapa ya sekarang tidak bisa cek linimasa hp orang lain meskipun email yang digunakan sama? Padahal dulu bisa.. di upgrade mengapa malah jadi down grade,negatif,sekarang cek linimasa hp orang meskipun email digunakan sama ? Padahal dulu .. upgrade malah jadi down grade,sekarang cek linimasa hp orang meski email guna sama padahal dulu upgrade malah jadi down grade
Wahyu Diana,1,8/6/2024 11:10,"Kenapa map tidak jalan, padahal kendaraan sudah melaju, tolong di cek lagi aplikasinya, ngebug",negatif,"map jalan , padahal kendaraan melaju , cek aplikasinya , ngebug",map jalan padahal kendara laju cek aplikasi ngebug
Fatih Zaid,4,8/6/2024 2:54,"Kadang suka error , petunjuk arahnya juga sering keluar dari rute",negatif,"Kadang suka error , petunjuk arahnya sering keluar rute",kadang suka error tunjuk arah sering keluar rute
Ayrah Shirly,3,8/6/2024 2:00,Sinyal gps hilang terus.. Aneh jaringan internet kuat. Masih sinyal gps hilang kenapa google,negatif,Sinyal gps hilang terus .. Aneh jaringan internet kuat . sinyal gps hilang google,sinyal gps hilang terus aneh jaring internet kuat sinyal gps hilang google
bapak ora genah,5,8/5/2024 22:54,Karena kerja saya harus gunakan goggle maps ini sangat membantu saya setiap hari.,negatif,kerja gunakan goggle maps sangat membantu hari .,kerja guna goggle maps sangat bantu hari
Adhee Dhee,5,8/5/2024 22:41,"Izinkan saya untukprotes. Wajah saya masuk google maps, Tapi kenapa wajah saya tidak disensor? Orang lain disensor, plat nomor kendaraan pun disensor, kenapa hanya wajah saya saja yang tidak disensor?",negatif,"Izinkan untukprotes . Wajah masuk google maps , wajah disensor ? Orang disensor , plat nomor kendaraan disensor , wajah disensor ?",izin untukprotes wajah masuk google maps wajah sensor orang sensor plat nomor kendara sensor wajah sensor
Zuandi Rival,3,8/5/2024 20:20,"Mobil disuruh lewat jalan tikus, yang warasan dikit lah maps!",negatif,"Mobil disuruh lewat jalan tikus , warasan dikit lah maps !",mobil suruh lewat jalan tikus waras dikit lah maps
